Width Items Result ProblemSolvingTime TotalTime Nthreads
10000 10000000 233753 627.986278 629.623670 1
10000 10000000 233753 421.657724 423.339499 2
10000 10000000 233753 305.040577 306.724072 3
10000 10000000 233753 240.680531 242.540553 4
1000000 1000000 81189 6179.317247 6179.494600 1
1000000 1000000 81189 4228.823127 4229.017557 2
1000000 1000000 81189 3053.887557 3054.103506 3
1000000 1000000 81189 2357.997127 2358.212106 4
100000 1000000 81756 630.995140 631.166417 1
100000 1000000 81756 424.440254 424.622122 2
100000 1000000 81756 299.838907 300.020556 3
100000 1000000 81756 234.586719 234.788764 4
10000 1000000 81426 62.400735 62.579244 1
10000 1000000 81426 42.449398 42.651043 2
10000 1000000 81426 30.939321 31.106337 3
10000 1000000 81426 23.871159 24.067886 4
1000 1000000 58216 6.349165 6.513841 1
1000 1000000 58216 4.972820 5.135442 2
1000 1000000 58216 3.777660 3.964938 3
1000 1000000 58216 3.229944 3.396305 4
1000000 100000 26512 641.414521 641.433209 1
1000000 100000 26512 422.095342 422.114154 2
1000000 100000 26512 305.841969 305.865927 3
1000000 100000 26512 236.479712 236.514492 4
100000 100000 24849 60.376016 60.393645 1
100000 100000 24849 42.956317 42.974972 2
100000 100000 24849 30.057138 30.080465 3
100000 100000 24849 23.308351 23.411381 4
10000 100000 27101 6.260871 6.277861 1
10000 100000 27101 4.300428 4.318253 2
10000 100000 27101 3.632922 3.655579 3
10000 100000 27101 2.385741 2.480102 4
1000 100000 23984 0.629468 0.651320 1
1000 100000 23984 0.496498 0.513786 2
1000 100000 23984 0.394551 0.411406 3
1000 100000 23984 0.321467 0.343847 4
1000 1000 2833 0.013165 0.014271 1
1000 1000 2833 0.005042 0.005801 2
1000 1000 2833 0.003817 0.004614 3
1000 1000 2833 0.006568 0.024754 4
1000000 2000000 117775 8346.007882 8346.368353 2
1000000 2000000 117775 6044.640357 6045.058154 3
1000000 2000000 117775 4673.670189 4674.088452 4
100000 2000000 114682 1254.108782 1254.512939 1
100000 2000000 114682 838.924989 839.272613 2
100000 2000000 114682 597.141619 597.486697 3
100000 2000000 114682 466.905149 467.336011 4
10000 2000000 108110 125.923876 126.253213 1
10000 2000000 108110 83.416044 83.763715 2
10000 2000000 108110 65.196291 65.537440 3
10000 2000000 108110 48.134256 48.513376 4
1000 2000000 75976 12.648195 12.964938 1
1000 2000000 75976 9.662709 9.987451 2
1000 2000000 75976 8.526950 8.861010 3
1000 2000000 75976 6.509270 6.873565 4
1000000 200000 35884 1282.017577 1282.059522 1
1000000 200000 35884 844.795549 844.832647 2
1000000 200000 35884 610.527160 610.585427 3
1000000 200000 35884 472.366382 472.414548 4
100000 200000 36804 126.088109 126.123215 1
100000 200000 36804 85.038665 85.080055 2
100000 200000 36804 59.651509 59.692358 3
100000 200000 36804 46.428207 46.471807 4
10000 200000 36269 12.634542 12.685739 1
10000 200000 36269 8.704669 8.739615 2
10000 200000 36269 6.124221 6.163948 3
10000 200000 36269 4.770041 4.880188 4
1000 200000 30086 1.281216 1.313997 1
1000 200000 30086 1.005490 1.039201 2
1000 200000 30086 0.735009 0.779066 3
1000 200000 30086 0.648813 0.693695 4
1000000 300000 45043 1859.751954 1859.837773 1
1000000 300000 45043 1260.845133 1260.900082 2
1000000 300000 45043 912.693739 912.758406 3
1000000 300000 45043 701.692910 701.763016 4
100000 300000 46287 188.933581 189.004176 1
100000 300000 46287 123.829865 123.883092 2
100000 300000 46287 89.205122 89.257425 3
100000 300000 46287 69.307476 69.367278 4
10000 300000 43885 18.790098 18.839567 1
10000 300000 43885 12.667428 12.718837 2
10000 300000 43885 9.280028 9.337956 3
10000 300000 43885 7.231983 7.334760 4
1000 300000 39006 1.883833 1.931476 1
1000 300000 39006 1.651144 1.723011 2
1000 300000 39006 1.210702 1.265301 3
1000 300000 39006 1.199938 1.256970 4
1000000 400000 52538 2573.556354 2573.659691 1
1000000 400000 52538 1758.173510 1758.265930 2
1000000 400000 52538 1508.035430 1508.113792 3
1000000 400000 52538 934.712128 934.805143 4
100000 400000 50960 250.028227 250.096020 1
100000 400000 50960 168.232783 168.303920 2
100000 400000 50960 120.677416 120.752573 3
100000 400000 50960 93.807597 93.952947 4
10000 400000 51221 24.324839 24.390163 1
10000 400000 51221 17.390282 17.458484 2
10000 400000 51221 15.192553 15.259934 3
10000 400000 51221 9.620661 9.702146 4
1000 400000 41687 2.507533 2.570870 1
1000 400000 41687 1.990099 2.055857 2
1000 400000 41687 1.779367 1.844753 3
1000 400000 41687 1.610222 1.785734 4
10000 5000000 168552 307.476221 308.366823 1
10000 5000000 168552 210.666359 211.569259 2
10000 5000000 168552 154.099882 154.982614 3
10000 5000000 168552 120.346163 121.286857 4
1000 5000000 89873 30.499138 31.259786 1
1000 5000000 89873 24.286280 25.259719 2
1000 5000000 89873 18.882847 19.691789 3
